District,Backward,Amount,Total,Totalcsr
Fatehabad,0,0,0,0
Fatehgarh Sahib,0,0,0,0
Fatehpur,1,0,3,0
Fazilka,0,0,6,0
Firozabad,0,100000,0,0
Firozpur,1,23100000,8,0
Gadag,1,28400000,5,0
Gadchiroli,1,33500000,5,1
Gajapati,1,0,0,0
Ganderbal,0,0,0,0
Gandhinagar,0,79800000,87,2
Ganganagar,0,0,25,0
Ganjam,0,7500000,7,0
Garhwa,1,0,0,0
Gariaband,0,0,0,0
Gautam Buddha Nagar,0,1061200000,193,0
Gaya,1,19100000,3,0
Ghaziabad,0,95900000,133,3
Ghazipur,0,125700000,0,0
Gir Somnath,0,0,1,0
Giridih,1,11500000,0,0
Goalpara,1,3700000,1,0
Godda,1,300000,2,0
Golaghat,0,197100000,3,0
Gomati,0,0,0,0
Gonda,0,1300000,2,0
Gondia,0,95300000,0,0
Gopalganj,0,0,0,0
Gorakhpur,0,13500000,4,0
Gulbarga,1,17000000,13,0
Gumla,1,200000,0,0
Guna,1,100000,2,0
Guntur,0,125000000,22,3
Gurdaspur,0,0,3,0
Gurugram,0,1166800000,167,24
Gwalior,0,16400000,2,0
Hailakandi,1,0,1,0
Hamirpur,0,5800000,4,0
Hamirpur,0,0,4,0
Hanumangarh,0,200000,0,0
Hapur,0,5900000,0,0
Harda,0,0,0,0
Hardoi,0,800000,0,0
Haridwar,1,375900000,232,5
Hassan,0,14300000,17,0
Hathras,0,0,0,0
Haveri,0,7800000,2,1
Hazaribag,1,21200000,4,0
Hingoli,0,0,0,0
Hisar,0,490500000,6,0
Hojai,0,0,0,0
Hooghly,0,13500000,28,0
Hoshangabad,0,21800000,8,0
Hoshiarpur,0,64800000,31,0
Howrah,0,30200000,79,3
Hyderabad,0,1033200000,159,26
Idukki,0,9400000,0,0
Imphal East,0,2600000,0,0
Imphal West,0,0,0,0
Indore,0,135200000,50,6
Jabalpur,0,61200000,7,1
Jagatsinghapur,0,0,2,0
Jagtial,0,0,0,0
Jaipur,0,475400000,142,13
Jaisalmer,1,55100000,38,0
Jajpur,0,19200000,32,1
Jalandhar,0,4800000,24,0
Jalaun,0,0,0,0
Jalgaon,1,100200000,35,0
Jalna,0,532900000,0,0
Jalore,0,15100000,2,0
Jalpaiguri,0,18900000,25,0
Jammu,0,33500000,25,1
Jamnagar,0,62100000,68,0
Jamtara,0,0,0,0
Jamui,1,0,0,0
Jangaon,0,0,0,0
Janjgir Champa,0,0,2,0
Jashpur,0,6400000,0,0
Jaunpur,0,6600000,8,0
Jayashankar,0,0,0,0
Jehanabad,0,4800000,0,0
Jhabua,0,39900000,0,0
Jhajjar,0,147100000,17,2
Jhalawar,0,83100000,1,0
Jhansi,0,32900000,2,0
Jhargram,0,0,0,0
Jharsuguda,0,112700000,3,0
Jhunjhunu,0,72700000,2,0
Jind,0,1400000,0,0
Jiribam,0,0,0,0
Jodhpur,0,344300000,11,0
Jogulamba,0,0,0,0
Jorhat,0,10700000,2,0
Junagadh,0,6800000,4,0
Kabirdham,0,0,0,0
Kadapa,1,14200000,11,0
Kaimur ,0,0,2,0
Kaithal,0,400000,0,0
Kakching,0,0,0,0
Kalahandi,1,116700000,0,0
Kalimpong,0,0,0,0
Kamareddy,0,0,1,0
Kamjong,0,0,0,0
Kamrup,0,58900000,85,0
Kamrup Metropolitan,0,0,23,0
Kanchipuram,0,21800000,130,0
Kandhamal,1,4000000,0,0
Kangpokpi,0,0,0,0
Kangra,0,800000,244,0
Kanker,1,34300000,0,0
Kannauj,0,0,0,0
Kannur,0,3700000,1,0
Kanpur Dehat,0,54000000,1,0
Kanpur Nagar,0,101700000,21,3
Kanshiram Nagar,0,0,0,0
Kanyakumari,0,16000000,26,0
Kapurthala,0,14800000,4,0
Karaikal,0,4800000,0,0
Karauli,1,300000,0,0
Karbi Anglong,0,600000,1,0
Kargil,0,11900000,0,0
Karimganj,0,0,0,0
Karimnagar,0,130800000,29,2
Karnal,0,11100000,6,0
Karur,0,17300000,6,2
Kasaragod,0,0,0,0
Kathua,0,500000,3,1
Katihar,1,0,0,0
Katni,0,22800000,6,0
Kaushambi,0,0,0,0
Kendrapara,0,0,0,0
Kendujhar,0,0,38,0
Khagaria,1,8000000,0,0
Khammam,1,65900000,20,3
Khandwa,1,106900000,0,0
Khargone,0,7600000,9,1
Kheda,0,15100000,15,1
Kheri,0,0,0,0
Khordha,0,63500000,36,0
Khowai,0,0,0,0
Khunti,1,3600000,1,0
Kinnaur,0,0,0,0
Kiphire,1,0,0,0
Kishanganj,0,1000000,0,0
Kishtwar,0,0,0,0
Kodagu,0,10500000,1,0
Koderma,0,100000,0,0
Kohima,0,0,0,0
Kokrajhar,0,4700000,0,0
Kolar,0,143500000,11,1
Kolasib,0,0,0,0
Kolhapur,0,115400000,54,1
Kolkata,0,2064800000,197,34
Kollam,0,4400000,0,0
Komaram Bheem,0,0,0,0
Kondagaon,1,0,0,0
Koppal,0,6800000,9,1
Koraput,1,280100000,1,0
Korba,1,1428300000,9,1
Koriya,0,0,2,0
Kota,0,148200000,13,2
Kottayam,0,33800000,5,1
Kozhikode,0,17700000,0,0
Kra Daadi,0,0,0,0
Krishna,0,552100000,27,1
Krishnagiri,0,64200000,59,3
Kulgam,0,0,0,0
Kullu,0,300000,4,0
Kupwara,1,200000,0,0
Kurnool,0,141700000,37,3
Kurukshetra,0,3900000,0,0
Kurung Kumey,0,0,0,0
Kushinagar,0,8600000,3,0
Kutch,0,149200000,174,6
Lahaul Spiti,0,1700000,0,0
Lakhimpur,0,127500000,3,0
Lakhisarai,0,1300000,0,0
Lakshadweep,0,0,0,0
Lalitpur,0,21900000,0,0
Latehar,1,0,0,0
Latur,0,63600000,1,0
Lawngtlai,0,0,0,0
Leh,0,2600000,0,0
Lohardaga,1,0,1,0
Lohit,0,0,0,0
Longding,0,0,0,0
Longleng,0,0,0,0
Lower Dibang Valley,0,1100000,0,0
Lower Siang,0,0,0,0
Lower Subansiri,0,0,0,0
Lucknow,0,197200000,39,3
Ludhiana,0,402800000,60,8
Lunglei,0,0,0,0
Madhepura,0,0,0,0
Madhubani,0,0,1,0
Madurai,0,84500000,19,2
Mahabubabad,0,0,0,0
Maharajganj,0,14400000,0,0
Mahasamund,1,1500000,0,0
Mahbubnagar,0,21900000,18,1
Mahe,0,0,0,0
Mahendragarh,0,0,0,0
Mahisagar,0,0,0,0
Mahoba,0,1400000,0,0
Mainpuri,0,0,0,0
Majuli,0,0,0,0
Malappuram,0,5100000,0,0
Malda,1,700000,0,0
Malkangiri,1,100000,0,0
Mamit,1,0,0,0
Mancherial,0,0,0,0
Mandi,0,6700000,1,0
Mandla,0,500000,0,0
Mandsaur,0,2400000,2,0
Mandya,0,2100000,3,0
Mansa,0,20600000,0,0
Mathura,0,212800000,7,1
Mau,0,3200000,0,0
Mayurbhanj,0,1100000,3,0
Medak,0,43500000,110,3
Medchal,0,0,0,0
Meerut,0,16000000,13,0
Mehsana,0,39400000,22,2
Mewat,1,74500000,2,0
Mirzapur,0,100000,0,0
Moga,1,600000,13,0
Mohali,0,31300000,24,1
Mokokchung,0,0,0,0
Mon,0,6700000,1,1
Moradabad,0,33800000,13,1
Morbi,1,14600000,0,0
Morena,0,1700000,8,0
Morigaon,0,1100000,0,0
Muktsar,0,4700000,6,0
Mumbai City,0,5058000000,176,49
Mumbai Suburban,0,3300000,166,40
Mungeli,0,0,0,0
Munger,0,1500000,1,0
Murshidabad,1,12700000,1,0
Muzaffarnagar,0,4200000,12,0
Muzaffarpur,1,8600000,3,0
Mysore,0,40100000,86,0
Nabarangpur,0,0,1,0
Nadia,1,318900000,2,0
Nagaon,0,11400000,1,0
Nagapattinam,0,42600000,4,0
Nagarkurnool,0,0,0,0
Nagaur,0,343900000,0,0
Nagpur,0,476400000,459,8
Nainital,0,2600000,7,0
Nalanda,0,5300000,0,0
Nalbari,0,1100000,0,0
Nalgonda,0,49600000,41,7
Namakkal,0,0,2,0
Namsai,1,0,0,0
Nanded,1,25800000,8,0
Nandurbar,1,31800000,1,0
Narayanpur,1,0,0,0
Narmada,1,241000000,0,0
Narsinghpur,0,5900000,8,0
Nashik,0,347700000,205,8
Navsari,0,6200000,1,0
Nawada,1,0,0,0
Nayagarh,0,5800000,1,0
Neemuch,0,4200000,1,0
New Delhi,0,936000000,0,0
Nicobar,0,0,0,0
Nilgiris,0,13900000,30,0
Nirmal,0,0,0,0
Nizamabad,0,500000,2,0
Noney,0,0,0,0
North 24 Parganas,0,15900000,38,0
North Delhi,0,25000000,1,0
North East  Delhi,0,0,0,0
North Garo Hills,0,0,0,0
North Goa,0,29300000,80,1
North Middle Andaman,0,0,0,0
North Sikkim,0,0,0,0
North Tripura,0,0,0,0
North West  Delhi,0,0,0,0
Nuapada,0,0,0,0
Osmanabad,0,10100000,2,0
Pakur,1,100000,0,0
Palakkad,0,17800000,15,0
Palamu,1,0,1,0
Palghar,0,238800000,48,2
Pali,0,43700000,2,0
Palwal,0,18300000,63,0
Panchkula,0,10900000,33,0
Panchmahal,0,9300000,39,1
Panipat,0,34200000,6,0
Panna,0,0,0,0
Papum Pare,0,1300000,0,0
Parbhani,0,159500000,28,0
Paschim Bardhaman,0,0,10,0
Paschim Medinipur,0,0,29,0
Patan,0,68200000,82,1
Pathanamthitta,0,6600000,5,1
Pathankot,0,0,20,0
Patiala,0,5500000,6,1
Patna,0,61200000,35,2
Pauri Garhwal,0,100000,0,0
Peddapalli,0,0,0,0
Perambalur,0,1200000,6,0
Peren,0,0,0,0
Phek,0,300000,0,0
Pherzawl,0,0,0,0
Pilibhit,0,11900000,0,0
Pithoragarh,0,1700000,1,0
Poonch,0,0,0,0
Porbandar,0,13300000,7,2
Prakasam,0,100000,27,0
Pratapgarh,0,0,0,0
Pratapgarh,0,17300000,0,0
Puducherry,0,70200000,75,1
Pudukkottai,0,1100000,13,0
Pulwama,0,17500000,0,0
Pune,0,3935500000,779,49
Purba Bardhaman,0,0,24,0
Purba Medinipur,0,0,0,0
Puri,0,31500000,0,0
Purnia,1,0,0,0
Purulia,0,12300000,7,0
Raebareli,0,33200000,12,1
Raichur,0,33000000,6,0
Raigad,0,1419400000,632,7
Raigarh,0,243200000,33,1
Raipur,0,593700000,36,0
Raisen,0,17000000,32,1
Rajanna Sircilla,0,0,0,0
Rajgarh,1,0,2,0
Rajkot,0,194600000,20,0
Rajnandgaon,1,40800000,7,0
Rajouri,0,0,0,0
Rajsamand,0,51900000,4,0
Ramanagara,0,17100000,2,0
Ramanathapuram,1,9300000,1,0
Ramban,0,0,0,0
Ramgarh,1,0,8,0
Rampur,0,34800000,9,1
Ranchi,1,287300000,47,0
Ranga Reddy,0,61100000,114,1
Ratlam,0,2300000,8,0
Ratnagiri,0,88000000,29,2
Rayagada,1,4100000,2,0
Reasi,0,0,0,0
Rewa,0,18400000,3,1
Rewari,0,16900000,50,2
Ri Bhoi,1,0,1,0
Rohtak,0,20400000,5,0
Rohtas,0,0,2,0
Rudraprayag,0,9500000,6,0
Rupnagar,0,0,92,0
Sabarkantha,0,34600000,3,0
Sagar,0,13600000,0,0
Saharanpur,0,23800000,20,0
Saharsa,0,11000000,0,0
Sahebganj,1,0,0,0
Saiha,0,300000,0,0
Salem,0,54100000,31,1
Samastipur,0,4400000,1,0
Samba,0,8900000,8,0
Sambalpur,0,182800000,3,0
Sambhal,0,500000,4,1
Sangareddy,0,3900000,1,0
Sangli,0,22400000,10,0
Sangrur,0,29500000,6,1
Sant Kabir Nagar,0,8200000,1,0
Saran,0,2500000,0,0
Satara,0,49400000,60,2
Satna,0,39300000,10,0
Sawai Madhopur,0,17100000,1,0
Sehore,0,63700000,64,1
Senapati,0,2900000,0,0
Seoni,0,2500000,1,0
Sepahijala,0,0,0,0
Seraikela Kharsawan,0,0,14,0
Serchhip,0,0,0,0
Shahdara,0,0,0,0
Shahdol,0,5500000,270,2
Shahid Bhagat Singh Nagar,0,0,0,0
Shahjahanpur,0,212900000,5,0
Shajapur,0,0,8,0
Shamali,0,0,0,0
Sheikhpura,1,0,0,0
Sheohar,0,0,0,0
Sheopur,0,12900000,0,0
Shimla,0,22000000,11,0
Shimoga,0,30800000,4,0
Shivpuri,0,0,0,0
Shopian,0,0,0,0
Shravasti,1,200000,0,0
Siang,0,0,0,0
Siddharthnagar,1,0,0,0
Siddipet,0,1600000,0,0
Sidhi,0,53500000,1,0
Sikar,0,16100000,2,1
Simdega,1,4500000,0,0
Sindhudurg,0,5600000,3,0
Singrauli,1,1007500000,19,1
Sirmaur ,0,0,46,0
Sirohi,1,40500000,4,0
Sirsa,0,4000000,0,0
Sitamarhi,1,108400000,2,0
Sitapur,0,13100000,12,0
Sivaganga,0,58000000,4,0
Sivasagar,0,0,5,0
Siwan,0,800000,0,0
Solan,0,521800000,175,1
Solapur,0,42200000,34,2
Sonbhadra,1,22800000,14,1
Sonipat,0,101500000,15,0
Sonitpur,0,19300000,8,0
South 24 Parganas,0,6500000,16,1
South Andaman,0,0,10,0
South Delhi,0,151000000,14,4
South East Delhi,0,1200000,20,0
South Garo Hills,0,0,0,0
South Goa,0,19700000,38,0
South Salamara-Mankachar,0,0,0,0
South Sikkim,0,6400000,5,0
South Tripura,0,4400000,0,0
South West  Delhi,0,0,0,0
South West Garo Hills,0,0,0,0
South West Khasi Hills,0,0,0,0
Sri Potti Sriramulu Nellore,0,0,8,0
Srikakulam,0,149600000,25,2
Srinagar,0,676300000,0,0
Subarnapur,0,0,0,0
Sukma,1,0,0,0
Sultanpur,0,2100000,6,0
Sundargarh,0,0,29,0
Supaul,0,0,1,0
Surajpur,0,4300000,0,0
Surat,0,429500000,338,6
Surendranagar,0,48800000,6,0
Surguja,0,60200000,0,0
Suryapet,0,15300000,2,0
Tamenglong,0,0,0,0
Tapi,0,6700000,2,0
Tarn Taran,0,200000,1,0
Tawang,0,0,0,0
Tehri Garhwal,0,398900000,0,0
Tengnoupal,0,0,0,0
Thane,0,564000000,335,14
Thanjavur,0,172000000,5,1
Theni,0,4800000,3,0
Thiruvananthapuram,0,175800000,5,2
Thoothukudi,0,140700000,21,2
Thoubal,0,800000,0,0
Thrissur,0,347700000,5,2
Tikamgarh,0,800000,0,0
Tinsukia,0,182600000,7,1
Tirap,0,0,0,0
Tiruchirappalli,0,97200000,5,0
Tirunelveli,0,115700000,78,0
Tiruppur,0,1600000,37,1
Tiruvallur,0,4200000,134,1
Tiruvannamalai,0,4300000,5,0
Tiruvarur,0,7500000,0,0
Tonk,0,2100000,8,0
Tuensang,0,0,0,0
Tumkur,0,23600000,8,2
Udaipur,0,231100000,12,1
Udalguri,1,19400000,0,0
Udham Singh Nagar,1,3800000,201,1
Udhampur,0,12200000,0,0
Udupi,0,739100000,10,1
Ujjain,0,36600000,10,1
Ukhrul,0,0,0,0
Umaria,0,5400000,0,0
Una,0,0,4,0
Unakoti,0,3600000,0,0
Unnao,0,1800000,6,0
Upper Siang,0,0,0,0
Upper Subansiri,0,0,0,0
Uttar Dinajpur,0,0,0,0
Uttara Kannada,0,7000000,4,0
Uttarkashi,0,20300000,2,0
Vadodara,0,440400000,372,9
Vaishali,0,56800000,6,0
Valsad,0,80000000,126,3
Varanasi,0,298400000,11,2
Vellore,0,2214400000,27,1
Vidisha,1,4300000,0,0
Vikarabad,0,0,0,0
Viluppuram,0,0,14,0
Virudhunagar,1,67400000,6,2
Visakhapatnam,1,406500000,114,6
Vizianagaram,1,2800000,22,0
Wanaparthy,0,0,0,0
Warangal Rural,1,0,11,0
Warangal Urban,0,16200000,3,0
Wardha,0,226200000,0,0
Washim,0,200000,1,0
Wayanad,1,11100000,0,0
West Champaran,0,0,0,0
West Delhi,0,558300000,4,0
West Garo Hills,0,0,0,0
West Godavari,0,65100000,21,1
West Jaintia Hills,0,0,0,0
West Kameng,0,0,0,0
West Karbi Anglong,0,0,0,0
West Khasi Hills,0,0,0,0
West Siang,0,0,0,0
West Sikkim,0,0,6,0
West Singhbhum,1,11000000,4,0
West Tripura,0,10900000,0,0
Wokha,0,0,0,0
Yadadri Bhuvanagiri,0,0,4,0
Yadgir,0,0,10,0
Yamunanagar,0,17800000,2,0
Yanam,0,0,14,0
Yavatmal,0,31400000,0,0
Zunheboto,0,0,0,0
