,Unnamed: 0,Constituency,AmountFinal,state,Type,Margin %,isMPMinister,centerAlignment,stateAlignment,rs_min_mplad_district,is_backward,ministry_comp_intersection,amount,non_backward,not_aligned,Total,Totalcsr,ADI,FactoriesFinal
43,43,AUTONOMOUS DISTRICT,600000,ASSAM,ST,4.4,0,0,1,0,0,0,0,1,0,1,0,10,2
44,44,AZAMGARH,3000000,UTTAR PRADESH,GEN,6.6,0,0,1,0,0,0,0,1,0,0,0,11,0
45,45,BADAUN,500000,UTTAR PRADESH,GEN,16.2,0,0,1,0,0,0,50000000,1,0,9,1,9,5
46,46,BAGALKOT,16600000,KARNATAKA,GEN,10.8,0,1,0,0,1,0,490000000,0,0,5,0,14,0
47,47,BAGHPAT,21600000,UTTAR PRADESH,GEN,20.9,0,1,0,0,0,0,1450000000,1,0,146,3,16,0
48,48,BAHARAMPUR,4700000,WEST BENGAL,GEN,30.9,0,0,0,0,1,0,470000000,0,1,1,0,10,0
49,49,BAHRAICH,200000,UTTAR PRADESH,SC,10.2,0,1,0,0,1,0,0,0,0,3,0,7,3
50,50,BALAGHAT,79900000,MADHYA PRADESH,GEN,8.6,0,1,1,0,0,0,2780000000,1,0,5,0,10,5
51,51,BALASORE,24600000,ODISHA,GEN,13.5,0,0,1,0,0,0,1420000000,1,0,9,1,10,0
52,52,BALLIA,5600000,UTTAR PRADESH,GEN,14.8,0,1,0,0,0,0,400000000,1,0,1,0,12,6
53,53,BALURGHAT,10200000,WEST BENGAL,GEN,10.1,0,0,1,0,1,0,0,0,0,0,0,10,0
54,54,BANASKANTHA,10000000,GUJARAT,GEN,22.8,1,1,1,0,0,1,1000000000,1,0,2,0,14,0
55,55,BANDA,0,UTTAR PRADESH,GEN,13.5,0,1,0,0,1,0,0,0,0,0,0,8,0
56,56,BANGALORE CENTRAL,2550600000,KARNATAKA,GEN,12.8,0,1,0,1,0,1,75230000000,1,0,389,9,18,100
57,57,BANGALORE NORTH,960900000,KARNATAKA,GEN,16.9,1,1,0,1,0,1,75230000000,1,0,389,9,18,100
58,58,BANGALORE RURAL,1468900000,KARNATAKA,GEN,15.9,0,0,1,1,0,1,124440000000,1,0,512,19,16,133
59,59,BANGALORE SOUTH,1752300000,KARNATAKA,GEN,20.5,1,1,0,1,0,1,75230000000,1,0,389,9,18,180
60,60,BANGAON,31700000,WEST BENGAL,SC,11.4,0,0,1,0,1,0,1910000000,0,0,40,0,14,38
61,61,BANKA,1500000,BIHAR,GEN,1.1,0,0,0,0,1,0,90000000,0,1,10,0,8,0
62,62,BANKURA,55900000,WEST BENGAL,GEN,8,0,0,1,0,0,0,4040000000,1,0,19,0,9,12
63,63,BANSGAON,7000000,UTTAR PRADESH,SC,21.6,0,1,0,0,0,0,700000000,1,0,4,0,11,0
64,64,BANSWARA,75600000,RAJASTHAN,ST,7.8,0,1,1,0,0,0,210000000,1,0,7,1,7,7
65,65,BAPATLA,60800000,ANDHRA PRADESH,SC,2.8,0,1,1,0,0,0,6080000000,1,0,49,3,15,3
66,66,BARABANKI,93200000,UTTAR PRADESH,SC,19.8,0,1,0,0,0,0,340000000,1,0,270,0,8,270
67,67,BARAMATI,1762900000,MAHARASHTRA,GEN,6.5,0,0,0,0,0,0,176290000000,1,1,779,49,18,1
68,68,BARAMULLA,9300000,JAMMU AND KASHMIR,GEN,6.3,0,0,0,0,1,0,0,0,1,0,0,12,1
69,69,BARASAT,2400000,WEST BENGAL,GEN,13.6,0,0,1,0,0,0,240000000,1,0,38,0,18,0
70,70,BARDHAMAN PURBA,0,WEST BENGAL,SC,8.7,0,0,1,0,0,0,0,1,0,24,0,17,47
71,71,BARDHAMAN-DURGAPUR,0,WEST BENGAL,GEN,8.1,0,0,1,0,0,0,0,1,0,34,0,17,9
72,72,BARDOLI,227600000,GUJARAT,ST,10.3,0,1,1,0,0,0,22600000000,1,0,340,6,18,2
73,73,BAREILLY,34300000,UTTAR PRADESH,GEN,23.6,1,1,0,0,0,0,250000000,1,0,16,0,11,16
74,74,BARGARH,80000000,ODISHA,GEN,1,0,0,1,0,0,0,1550000000,1,0,3,0,12,0
75,75,BARMER,364500000,RAJASTHAN,GEN,7.2,0,1,1,0,1,0,12360000000,0,0,43,0,9,42
76,76,BARPETA,277800000,ASSAM,GEN,3.5,0,0,0,0,1,0,190000000,0,1,11,0,12,11
77,77,BARRACKPUR,2400000,WEST BENGAL,GEN,19.7,0,0,1,0,0,0,240000000,1,0,38,0,18,0
78,78,BASIRHAT,2400000,WEST BENGAL,GEN,8.6,0,0,1,0,0,0,240000000,1,0,38,0,18,0
79,79,BASTAR,64200000,CHHATTISGARH,ST,16.2,0,1,1,0,1,0,360000000,0,0,0,0,10,4
80,80,BASTI,14000000,UTTAR PRADESH,GEN,3.2,0,1,0,0,0,0,0,1,0,1,0,10,1
81,81,BATHINDA,37300000,PUNJAB,GEN,1.6,1,1,1,0,0,0,2600000000,1,0,9,0,14,3
82,82,BEED,25900000,MAHARASHTRA,GEN,11.1,0,1,1,0,0,0,0,1,0,5,0,13,6
83,83,BEGUSARAI,51100000,BIHAR,GEN,5.4,0,1,1,0,1,0,100000000,0,0,2,0,8,2
84,84,BELGAUM,40700000,KARNATAKA,GEN,7,0,1,0,0,0,0,380000000,1,0,33,1,15,36
85,85,BELLARY,168900000,KARNATAKA,ST,8.1,0,1,0,0,0,0,2010000000,1,0,20,2,14,23
86,86,BERHAMPUR,6000000,ODISHA,GEN,14.1,0,0,1,0,1,0,600000000,0,0,7,0,8,1
87,87,BETUL,74500000,MADHYA PRADESH,ST,31.4,0,1,1,0,1,0,4090000000,0,0,1,0,11,2
88,88,BHADOHI,6300000,UTTAR PRADESH,GEN,16.1,0,1,0,0,0,0,630000000,1,0,0,0,12,0
89,89,BHADRAK,22000000,ODISHA,SC,16.6,0,0,1,0,0,0,1020000000,1,0,6,1,11,0
90,90,BHAGALPUR,2100000,BIHAR,GEN,1,0,0,0,0,0,0,0,1,1,10,0,8,10
91,91,BHANDARA-GONDIYA,130700000,MAHARASHTRA,GEN,12.5,0,1,1,0,0,0,530000000,1,0,11,1,13,13
92,92,BHARATPUR,113700000,RAJASTHAN,SC,25.5,0,1,1,0,0,0,9680000000,1,0,110,5,13,510
93,93,BHARUCH,436600000,GUJARAT,GEN,14.5,1,1,1,0,1,0,19830000000,0,0,860,18,15,0
94,94,BHAVNAGAR,89700000,GUJARAT,GEN,32.2,0,1,1,0,0,0,2070000000,1,0,29,1,17,28
95,95,BHILWARA,171200000,RAJASTHAN,GEN,22.3,0,1,1,0,0,0,8120000000,1,0,8,2,11,8
96,96,BHIND,100800000,MADHYA PRADESH,SC,21.9,0,1,1,0,0,0,9810000000,1,0,12,0,11,14
97,97,BHIWANDI,186900000,MAHARASHTRA,GEN,12.5,0,1,1,0,0,0,18690000000,1,0,335,14,17,24
98,98,BHIWANI-MAHENDRAGARH,66000000,HARYANA,GEN,12.6,0,1,1,0,0,0,1600000000,1,0,3,1,16,3
99,99,BHONGIR,56000000,TELANGANA,GEN,2.5,0,0,1,0,0,0,5600000000,1,0,155,8,15,9
100,100,BHOPAL,394600000,MADHYA PRADESH,GEN,32.8,0,1,1,1,0,0,8820000000,1,0,96,5,14,32
101,101,BHUBANESWAR,82100000,ODISHA,GEN,21.2,0,0,1,0,0,0,850000000,1,0,36,0,16,39
102,102,BIDAR,24600000,KARNATAKA,GEN,9.6,0,1,0,0,1,0,1550000000,0,0,15,1,14,2
103,103,BIJAPUR,54700000,KARNATAKA,SC,7.2,0,1,0,0,0,0,1650000000,1,0,0,0,13,7
104,104,BIJNOR,11000000,UTTAR PRADESH,GEN,19.4,0,1,0,0,0,0,690000000,1,0,32,0,14,7
105,105,BIKANER,64500000,RAJASTHAN,SC,33.1,0,1,1,0,0,0,1220000000,1,0,27,0,16,2
106,106,BILASPUR,122900000,CHHATTISGARH,GEN,16.2,0,1,1,0,0,0,11290000000,1,0,30,1,17,7
107,107,BIRBHUM,19300000,WEST BENGAL,GEN,5.3,0,0,1,0,1,0,110000000,0,0,0,0,11,0
108,108,BISHNUPUR,16600000,WEST BENGAL,SC,11.8,0,0,1,0,0,0,310000000,1,0,36,0,13,0
109,109,BOLANGIR,0,ODISHA,GEN,8.9,0,0,1,0,1,0,0,0,0,1,0,8,0
110,110,BOLPUR,1100000,WEST BENGAL,SC,18.1,0,0,1,0,1,0,110000000,0,0,24,0,14,0
111,111,BULANDSHAHR,30400000,UTTAR PRADESH,SC,41.8,0,1,0,0,0,0,910000000,1,0,29,0,13,29
112,112,BULDHANA,14900000,MAHARASHTRA,GEN,16.3,0,1,1,0,0,0,400000000,1,0,2,0,12,2
113,113,BUXAR,2500000,BIHAR,GEN,14.9,0,1,1,0,0,0,0,1,0,4,1,9,2
114,114,CHALAKUDY,254500000,KERALA,GEN,1.6,0,0,0,0,0,0,25450000000,1,1,29,9,16,83
115,115,CHAMARAJANAGAR,12100000,KARNATAKA,SC,12.5,0,0,1,0,0,0,810000000,1,0,86,0,15,0
116,116,CHANDAULI,43500000,UTTAR PRADESH,GEN,16,0,1,0,0,1,0,4350000000,0,0,11,2,13,0
117,117,CHANDIGARH,167300000,CHANDIGARH,GEN,15.4,0,1,0,0,0,0,510000000,1,0,83,2,18,1
118,118,CHANDNI CHOWK,32600000,DELHI,GEN,13.9,1,1,0,0,0,0,3260000000,1,0,82,5,18,0
119,119,CHANDRAPUR,267900000,MAHARASHTRA,GEN,21.3,1,1,1,0,0,1,1690000000,1,0,18,2,13,21
120,120,CHATRA,0,JHARKHAND,GEN,25,0,1,1,0,1,0,0,0,0,5,0,7,4
121,121,CHENNAI CENTRAL,2386900000,TAMIL NADU,GEN,5.6,0,0,1,0,0,0,116960000000,1,0,232,58,18,233
122,122,CHENNAI NORTH,2170200000,TAMIL NADU,GEN,11,0,0,1,0,0,0,117020000000,1,0,366,59,18,1
123,123,CHENNAI SOUTH,2177000000,TAMIL NADU,GEN,12.6,0,0,1,0,0,0,117700000000,1,0,362,58,18,1
124,124,CHEVELLA,138400000,TELANGANA,GEN,5.5,0,0,1,0,0,0,3740000000,1,0,114,1,17,116
125,125,CHHINDWARA,12300000,MADHYA PRADESH,GEN,10.5,0,0,0,1,0,0,160000000,1,1,12,0,11,29
126,126,CHHOTA UDAIPUR,362400000,GUJARAT,ST,16.3,0,1,1,0,1,0,9280000000,0,0,411,10,15,0
127,127,CHIDAMBARAM,118200000,TAMIL NADU,SC,11.8,0,0,1,0,0,0,11820000000,1,0,21,1,14,1
128,128,CHIKKBALLAPUR,477500000,KARNATAKA,GEN,0.8,0,0,1,0,0,0,47750000000,1,0,142,9,16,2
129,129,CHIKKODI,3800000,KARNATAKA,GEN,0.3,0,0,1,0,0,0,380000000,1,0,33,1,15,2
130,130,CHITRADURGA,105400000,KARNATAKA,SC,9.2,0,0,1,0,0,0,2110000000,1,0,50,4,14,42
131,131,CHITTOOR,192100000,ANDHRA PRADESH,SC,3.7,0,1,1,0,0,0,7470000000,1,0,46,4,14,48
132,132,CHITTORGARH,141700000,RAJASTHAN,GEN,27,0,1,1,0,0,0,8470000000,1,0,41,1,11,29
133,133,CHURU,22300000,RAJASTHAN,GEN,26.1,0,1,1,0,0,0,200000000,1,0,1,0,15,0
134,134,COIMBATORE,733600000,TAMIL NADU,GEN,3.6,0,0,1,0,0,0,16560000000,1,0,135,13,18,106
135,135,COOCHBEHAR,0,WEST BENGAL,SC,6.5,0,0,1,0,0,0,0,1,0,0,0,10,0
136,136,CUDDALORE,405700000,TAMIL NADU,GEN,20.6,0,0,1,0,0,0,11790000000,1,0,10,1,15,10
137,137,CUTTACK,156500000,ODISHA,GEN,31.3,0,0,1,0,0,0,3400000000,1,0,5,0,12,9
138,138,DADRA & NAGAR HAVELI,0,DADRA AND NAGAR HAVELI,GEN,3.8,0,1,0,0,0,0,0,1,0,449,0,17,465
139,139,DAHOD,78200000,GUJARAT,ST,25.6,0,1,1,0,0,0,30000000,1,0,39,1,10,0
140,140,DAKSHINA KANNADA,14000000,KARNATAKA,GEN,11.9,0,1,0,0,0,0,340000000,1,0,4,0,16,11
141,141,DAMAN & DIU,11600000,DAMAN AND DIU,GEN,10.6,0,1,0,0,0,0,0,1,0,112,0,18,113
142,142,DAMOH,21200000,MADHYA PRADESH,GEN,23.4,0,1,1,0,1,0,750000000,0,0,1,0,11,0
143,143,DARBHANGA,3500000,BIHAR,GEN,4.2,0,1,1,0,0,0,0,1,0,0,0,8,0
144,144,DARJEELING,36000000,WEST BENGAL,GEN,17.3,0,1,0,0,0,0,1440000000,1,0,26,0,13,27
145,145,DAUSA,235800000,RAJASTHAN,ST,4.9,0,1,1,0,0,0,23580000000,1,0,251,18,14,1
146,146,DAVANAGERE,0,KARNATAKA,GEN,1.6,1,1,0,0,0,0,0,1,0,2,0,14,2
147,147,DEORIA,9600000,UTTAR PRADESH,GEN,27.3,1,1,0,0,0,0,0,1,0,3,0,10,0
148,148,DEWAS,141800000,MADHYA PRADESH,SC,22.8,0,1,1,0,0,0,7480000000,1,0,90,4,12,23
149,149,DHANBAD,146500000,JHARKHAND,GEN,25.6,0,1,1,0,1,0,2280000000,0,0,35,0,13,32
150,150,DHAR,65700000,MADHYA PRADESH,ST,9.7,0,1,1,0,0,0,3940000000,1,0,72,6,14,45
151,151,DHARMAPURI,46600000,TAMIL NADU,GEN,7,0,1,0,0,0,0,2130000000,1,0,35,1,17,4
152,152,DHARWAD,82300000,KARNATAKA,GEN,10.9,0,1,0,0,0,0,540000000,1,0,25,2,16,25
153,153,DHAURAHRA,6300000,UTTAR PRADESH,GEN,11.9,0,1,0,0,0,0,630000000,1,0,12,0,7,0
154,154,DHENKANAL,337300000,ODISHA,GEN,13.2,0,0,1,0,1,0,26500000000,0,0,296,1,9,275
155,155,DHUBRI,23800000,ASSAM,GEN,16.8,0,0,0,0,1,0,0,0,1,1,0,9,1
156,156,DHULE,177200000,MAHARASHTRA,GEN,13.3,0,1,1,0,0,0,12500000000,1,0,220,8,15,15
157,157,DIAMOND HARBOUR,10900000,WEST BENGAL,GEN,5.7,0,0,1,0,0,0,1090000000,1,0,16,1,15,0
158,158,DIBRUGARH,249200000,ASSAM,GEN,20.8,0,1,0,0,0,0,4800000000,1,0,11,3,13,21
159,159,DINDIGUL,56900000,TAMIL NADU,GEN,11.8,0,0,1,0,0,0,1390000000,1,0,13,1,14,17
160,160,DINDORI,114700000,MAHARASHTRA,ST,25.5,0,1,1,0,0,0,11470000000,1,0,205,8,18,0
161,161,DOMARIYAGANJ,0,UTTAR PRADESH,GEN,11.1,0,1,0,0,1,0,0,0,0,0,0,9,0
162,162,DUM DUM,2400000,WEST BENGAL,GEN,13.7,0,0,1,0,0,0,240000000,1,0,38,0,18,0
163,163,DUMKA,3700000,JHARKHAND,ST,4.3,0,0,0,0,1,0,0,0,1,2,0,8,0
164,164,DURG,133300000,CHHATTISGARH,GEN,1.3,0,0,0,0,0,0,5740000000,1,1,26,1,14,26
165,165,EAST DELHI,1396400000,DELHI,GEN,15.9,0,1,0,0,0,0,16090000000,1,0,5,1,18,25
166,166,ELURU,110300000,ANDHRA PRADESH,GEN,8.5,0,1,1,1,0,0,11030000000,1,0,48,2,16,23
167,167,ERNAKULAM,595600000,KERALA,GEN,10.2,0,0,1,0,0,0,19990000000,1,0,24,7,16,33
168,168,ERODE,61400000,TAMIL NADU,GEN,21,0,0,1,0,0,0,900000000,1,0,58,2,18,20
169,169,ETAH,1800000,UTTAR PRADESH,GEN,21.7,0,1,0,0,0,0,0,1,0,1,0,11,1
170,170,ETAWAH,31900000,UTTAR PRADESH,SC,18.4,0,1,0,0,0,0,3180000000,1,0,8,1,10,10
171,171,FAIZABAD,4100000,UTTAR PRADESH,GEN,27.6,0,1,0,0,0,0,410000000,1,0,270,0,9,0
172,172,FARIDABAD,280400000,HARYANA,GEN,41.3,1,1,1,0,0,0,5650000000,1,0,254,10,18,289
173,173,FARIDKOT,7200000,PUNJAB,SC,16.7,0,0,0,0,1,0,660000000,0,1,22,0,16,13
174,174,FARRUKHABAD,800000,UTTAR PRADESH,GEN,15.5,0,1,0,0,0,0,0,1,0,1,0,11,0
175,175,FATEHGARH SAHIB,74700000,PUNJAB,SC,5.3,0,0,0,0,0,0,7470000000,1,1,66,9,17,0
176,176,FATEHPUR,0,UTTAR PRADESH,GEN,17.7,1,1,0,0,1,0,0,0,0,3,0,8,3
177,177,FATEHPUR SIKRI,10900000,UTTAR PRADESH,GEN,17.9,0,1,0,0,0,0,1090000000,1,0,16,3,14,0
178,178,FIROZABAD,100000,UTTAR PRADESH,GEN,10.3,0,0,1,0,0,0,10000000,1,0,0,0,11,0
179,179,FIROZPUR,40100000,PUNJAB,GEN,2.8,0,1,1,0,1,0,450000000,0,0,20,0,14,15
180,180,GADCHIROLI-CHIMUR,52900000,MAHARASHTRA,ST,23.1,0,1,1,0,1,0,2070000000,0,0,23,3,13,5
181,181,GANDHINAGAR,971400000,GUJARAT,GEN,42.5,0,1,1,0,0,0,90030000000,1,0,444,36,18,96
182,182,GANGANAGAR,200000,RAJASTHAN,SC,23.2,1,1,1,0,0,0,20000000,1,0,25,0,17,2
183,183,GARHWAL,316700000,UTTARAKHAND,GEN,27.1,0,1,0,0,0,0,31330000000,1,0,27,0,16,23
184,184,GAUHATI,81800000,ASSAM,GEN,20.9,0,1,0,0,1,0,2400000000,0,0,109,0,16,108
185,185,GAUTAM BUDHHA NAGAR,1098900000,UTTAR PRADESH,GEN,23.4,1,1,0,0,0,1,2660000000,1,0,222,0,15,134
186,186,GAYA,20900000,BIHAR,SC,14.3,0,1,1,0,1,0,710000000,0,0,3,0,8,1
187,187,GHATAL,0,WEST BENGAL,GEN,19.1,0,0,1,0,0,0,0,1,0,29,0,14,0
188,188,GHAZIABAD,179800000,UTTAR PRADESH,GEN,42.3,1,1,0,0,0,1,840000000,1,0,133,3,17,133
189,189,GHAZIPUR,143300000,UTTAR PRADESH,GEN,3.3,1,1,0,0,0,1,70000000,1,0,0,0,10,0
190,190,GHOSI,6500000,UTTAR PRADESH,GEN,14,0,1,0,0,0,0,650000000,1,0,1,0,13,0
191,191,GIRIDIH,73700000,JHARKHAND,GEN,4.2,0,1,1,0,1,0,2280000000,0,0,35,0,11,6
192,192,GODDA,14200000,JHARKHAND,GEN,5.8,0,1,1,0,1,0,0,0,0,4,0,8,4
193,193,GONDA,5500000,UTTAR PRADESH,GEN,18.4,0,1,0,0,1,0,180000000,0,0,6,0,8,2
194,194,GOPALGANJ,0,BIHAR,SC,31.8,0,1,1,0,0,0,0,1,0,0,0,10,0
195,195,GORAKHPUR,16600000,UTTAR PRADESH,GEN,30.1,0,1,0,0,0,0,700000000,1,0,4,0,12,4
196,196,GULBARGA,19500000,KARNATAKA,SC,7.5,0,0,1,0,1,0,1550000000,0,0,23,0,14,14
197,197,GUNA,1900000,MADHYA PRADESH,GEN,12.4,0,0,0,0,1,0,0,0,1,2,0,10,2
198,198,GUNTUR,189900000,ANDHRA PRADESH,GEN,5.6,0,1,0,0,0,0,5850000000,1,0,22,3,16,22
199,199,GURDASPUR,1400000,PUNJAB,GEN,13,0,1,1,0,0,0,120000000,1,0,23,0,17,23
200,200,GURGAON,1895600000,HARYANA,GEN,20.8,1,1,1,0,1,1,55580000000,0,0,219,26,18,234
201,201,GWALIOR,23400000,MADHYA PRADESH,GEN,3,1,1,1,0,0,0,100000000,1,0,2,0,13,2
202,202,HAJIPUR,0,BIHAR,SC,24.9,1,0,0,0,0,0,0,1,1,6,0,9,0
203,203,HAMIRPUR,15900000,HIMACHAL PRADESH,GEN,11.8,0,1,0,1,0,1,680000000,1,0,287,1,14,7
204,204,HAMIRPUR,400000,UTTAR PRADESH,GEN,27.4,0,1,0,0,0,0,100000000,1,0,287,1,9,0
205,205,HARDOI,2100000,UTTAR PRADESH,SC,8.4,0,1,0,0,0,0,60000000,1,0,0,0,8,0
206,206,HARDWAR,595300000,UTTARAKHAND,GEN,15.1,0,1,0,0,1,0,8730000000,0,0,336,6,17,232
207,207,HASSAN,29200000,KARNATAKA,GEN,8.8,0,0,0,0,0,0,300000000,1,1,22,1,15,17
208,208,HATHRAS,8000000,UTTAR PRADESH,SC,31.1,0,1,0,0,0,0,800000000,1,0,8,0,12,0
209,209,HATKANANGLE,32200000,MAHARASHTRA,GEN,15,0,1,0,0,0,0,3220000000,1,0,64,1,17,2
210,210,HAVERI,36200000,KARNATAKA,GEN,7.8,0,1,0,0,1,0,0,0,0,7,1,14,7
211,211,HAZARIBAGH,27300000,JHARKHAND,GEN,16.5,1,1,1,0,1,1,800000000,0,0,12,0,11,13
212,212,HINDUPUR,193900000,ANDHRA PRADESH,GEN,8.3,0,1,1,0,0,0,19390000000,1,0,46,0,14,1
213,213,HINGOLI,10900000,MAHARASHTRA,GEN,0.2,0,0,0,0,1,0,1040000000,0,1,8,0,13,0
214,214,HISAR,513100000,HARYANA,GEN,2.8,0,0,0,0,0,0,2670000000,1,1,9,1,15,6
215,215,HOOGHLY,18600000,WEST BENGAL,GEN,14,0,0,1,0,0,0,760000000,1,0,28,0,18,30
216,216,HOSHANGABAD,41400000,MADHYA PRADESH,GEN,37.8,0,1,1,0,0,0,1690000000,1,0,48,1,12,9
217,217,HOSHIARPUR,70600000,PUNJAB,SC,1.4,1,1,1,0,0,1,950000000,1,0,38,0,18,31
218,218,HOWRAH,46900000,WEST BENGAL,GEN,17.5,0,0,1,0,0,0,570000000,1,0,79,3,18,80
219,219,HYDERABAD,1667200000,TELANGANA,GEN,20.8,0,0,0,0,0,0,30460000000,1,1,159,26,18,165
220,220,IDUKKI,209500000,KERALA,GEN,6.2,0,0,0,0,0,0,20040000000,1,1,24,7,16,3
221,221,INDORE,169600000,MADHYA PRADESH,GEN,35.5,0,1,1,0,0,0,3800000000,1,0,50,6,18,50
222,222,INNER MANIPUR,13800000,MANIPUR,GEN,14.8,0,0,1,0,1,0,960000000,0,0,0,0,14,0
223,223,JABALPUR,96500000,MADHYA PRADESH,GEN,20.8,0,1,1,0,0,0,530000000,1,0,7,1,18,7
224,224,JADAVPUR,10900000,WEST BENGAL,GEN,9.8,0,0,1,0,0,0,1090000000,1,0,16,1,15,0
225,225,JAGATSINGHPUR,30900000,ODISHA,SC,24.4,0,0,1,0,0,0,3090000000,1,0,6,0,14,2
